domain1,tags,tids,xs,tagRatio,xdrRatio,tagDistribute,xdrDistribute,ups,dps,ubs,dbs,upAvgFluxSize,downAvgFluxSize,tidFlux,xdrFlux,is_main,domain0
img.zcdsp.com,56,187,58296,16.77005348,0.599852477,3.339285714,311.7433155,647891,632987,38755222,511111628,59.81750325,807.4599131,2940464.439,9432.325545,1,zcdsp.com
beacon.sina.com.cn,11,24,271,5.041666667,2.125461255,2.181818182,11.29166667,2193,1641,704513,380382,321.255358,231.7989031,45203.95833,4003.302583,1,sina.com.cn
aps.ytl-s.com,1,137,14106,0.00729927,1.330568552,137,102.9635036,70597,69483,5089870,2783909,72.09753956,40.06604493,57472.83942,558.1865164,0,ytl-s.com
ct-android.omniture.cn,1,1,16,1,0.0625,1,16,93,93,17350,29480,186.5591398,316.9892473,46830,2926.875,-1,omniture.cn
err.teddymobile.cn,6,6,7,6,5.142857143,1,1.166666667,46,29,11413,3127,248.1086957,107.8275862,2423.333333,2077.142857,-1,teddymobile.cn
www.ecarcloud.net,2,149,1641,0.026845638,13.52894576,74.5,11.01342282,36565,36865,2255174,2027672,61.6757555,55.00263122,28743.93289,2609.900061,-1,ecarcloud.net
ic100.wps.cn,1,1,7,1,0.142857143,1,7,19,20,1549,1038,81.52631579,51.9,2587,369.5714286,-1,wps.cn
updatem.360safe.com,11,12,64,10.08333333,2.25,1.090909091,5.333333333,674,734,49120,668370,72.87833828,910.5858311,59790.83333,11210.78125,1,360safe.com
hdns.ksyun.com,27,28,403,26.03571429,1.945409429,1.037037037,14.39285714,1238,891,108150,105674,87.35864297,118.6015713,7636.571429,530.5806452,1,ksyun.com
puma-api.iqiyi.com,20,26,118,15.38461538,5.728813559,1.3,4.538461538,1030,792,97691,394990,94.84563107,498.7247475,18949.26923,4175.262712,1,iqiyi.com
fct.aykj0577.com,6,23,2771,1.565217391,0.19090581,3.833333333,120.4782609,143037,73638,8764986,5421162,61.27775331,73.61908254,616789.0435,5119.504872,-1,aykj0577.com
img3.tuhu.org,3,3,14,3,0.642857143,1,4.666666667,891,1173,55021,1584350,61.75196409,1350.682012,546457,117097.9286,-1,tuhu.org
tvax2.sinaimg.cn,33,45,313,24.2,6.469648562,1.363636364,6.955555556,28627,68277,1302615,93102609,45.50302162,1363.601345,2097893.867,301614.1342,1,sinaimg.cn
s2b.time.edu.cn,3,11,4283,0.818181818,0.028251226,3.666666667,389.3636364,4284,0,325584,0,76,0,29598.54545,76.01774457,-1,time.edu.cn
v.shianxin.net,1,15,528,0.066666667,0.426136364,15,35.2,5387,3407,345886,202532,64.20753666,59.44584679,36561.2,1038.670455,0,shianxin.net
emh5.eastmoney.com,3,3,41,3,0.219512195,1,13.66666667,576,455,121962,365824,211.7395833,804.0087912,162595.3333,11897.21951,1,eastmoney.com
v-70110616.71edge.com,7,7,48,7,1.020833333,1,6.857142857,21882,58844,1178939,77975065,53.87711361,1325.114965,11307714.86,1649041.75,-1,71edge.com
weatherpolicy.hicloud.com,5,5,5,5,5,1,1,32,31,3246,2929,101.4375,94.48387097,1235,1235,1,hicloud.com
san.ofo.so,7,7,43,7,1.139534884,1,6.142857143,509,422,99419,203741,195.3222004,482.7985782,43308.57143,7050.232558,0,ofo.so
tjtv3.wn51.com,1,1,6,1,0.166666667,1,6,30,21,2310,2152,77,102.4761905,4462,743.6666667,-1,wn51.com
dc11.tingyun.com,4,7,155,2.285714286,0.316129032,1.75,22.14285714,946,632,124246,38480,131.3382664,60.88607595,23246.57143,1049.845161,-1,tingyun.com
ltsws.qq.com,1,1,25,1,0.04,1,25,975,1272,53485,1665463,54.85641026,1309.326258,1718948,68757.92,1,qq.com
t.rastargame.com,2,2,4,2,1,1,2,39,32,4016,9041,102.974359,282.53125,6528.5,3264.25,-1,rastargame.com
sn.eamobile.com,1,1,1,1,1,1,1,16,17,1677,4126,104.8125,242.7058824,5803,5803,-1,eamobile.com
api.weidian.com,2,2,10,2,0.4,1,5,104,79,43175,25914,415.1442308,328.0253165,34544.5,6908.9,-1,weidian.com
tongji.jiegeng.com,1,1,7,1,0.142857143,1,7,30,34,2628,3738,87.6,109.9411765,6366,909.4285714,-1,jiegeng.com
s01.yunva.com,1,1,1,1,1,1,1,5,3,591,254,118.2,84.66666667,845,845,-1,yunva.com
vcnc.co.kr,1,2,331,0.5,0.012084592,2,165.5,4420,3352,501021,784156,113.3531674,233.9367542,642588.5,3882.70997,-1,co.kr
free-mapdownload.autonavi.com,1,1,12,1,0.083333333,1,12,80,48,4472,44142,55.9,919.625,48614,4051.166667,1,autonavi.com
store.naver.com,1,3,14,0.333333333,0.642857143,3,4.666666667,646,694,138706,668356,214.7151703,963.0489914,269020.6667,57647.28571,1,naver.com
qzapp.qlogo.cn,3,3,7,3,1.285714286,1,2.333333333,38,32,3536,15349,93.05263158,479.65625,6295,2697.857143,1,qlogo.cn
co.jeejen.com,2,2,8,2,0.5,1,4,50,46,12981,3073,259.62,66.80434783,8027,2006.75,1,jeejen.com
v.meizu.com,1,1,4,1,0.25,1,4,20,13,2236,2303,111.8,177.1538462,4539,1134.75,1,meizu.com
ticket.interpark.com,1,2,3,0.5,1.333333333,2,1.5,41,37,6973,24371,170.0731707,658.6756757,15672,10448,-1,interpark.com
www.x33309.com,1,1,3,1,0.333333333,1,3,12,9,648,492,54,54.66666667,1140,380,-1,x33309.com
aihelp.net,1,1,6,1,0.166666667,1,6,31,29,3852,15164,124.2580645,522.8965517,19016,3169.333333,-1,aihelp.net
txt.win007.com,2,2,2255,2,0.001773836,1,1127.5,12999,9240,1238388,1672001,95.26794369,180.9524892,1455194.5,1290.638137,-1,win007.com
i.cardinfo.com.cn,2,2,4,2,1,1,2,7,0,396,0,56.57142857,0,198,99,0,cardinfo.com.cn
api.ishugui.com,1,1,54,1,0.018518519,1,54,196,147,34219,60307,174.5867347,410.2517007,94526,1750.481481,-1,ishugui.com
hail-reporting.tutelatechnologies.com,1,1,10,1,0.1,1,10,76,56,10160,30923,133.6842105,552.1964286,41083,4108.3,-1,tutelatechnologies.com
hxddz.syyx.com,3,3,72,3,0.125,1,24,423,356,43853,112952,103.6713948,317.2808989,52268.33333,2177.847222,-1,syyx.com
www.sinotruksfs.com,18,1301,32282,0.249039201,52.43172666,72.27777778,24.8132206,1266037,701535,129234219,43310551,102.0777584,61.73683565,132624.7271,5344.921938,1,sinotruksfs.com
gateway.qijigps.com,1,5227,214588,0.000191314,127.3208614,5227,41.05375933,1895380,1892946,115396490,68950973,60.88303665,36.42521921,35268.31127,859.0762904,0,qijigps.com
mqtt.funplayspace.com,1,8,592,0.125,0.108108108,8,74,24145,16722,2407364,1119718,99.70445227,66.96077024,440885.25,5957.908784,1,funplayspace.com
www.szzhaona.net,6,1949,84877,0.018471011,44.75418547,324.8333333,43.54899949,1785462,1011869,130746992,71610333,73.22866127,70.7703596,103826.2314,2384.12438,0,szzhaona.net
push-statics.meizu.com,18,24,231,13.5,2.493506494,1.333333333,9.625,1684,1234,293418,303164,174.2387173,245.6758509,24857.58333,2582.606061,1,meizu.com
cdn.whatsapp.net,15,37,201,6.081081081,6.810945274,2.466666667,5.432432432,674,0,40700,0,60.38575668,0,1100,202.4875622,1,whatsapp.net
mall.10010.com,6,6,207,6,0.173913043,1,34.5,4019,6451,671256,7246369,167.0206519,1123.293908,1319604.167,38249.39614,-1,10010.com
iu.snssdk.com,99,101,1092,97.03960396,9.341575092,1.02020202,10.81188119,10707,8329,1559882,3106353,145.6880545,372.9562973,46200.34653,4273.108974,1,snssdk.com
c4.kgimg.com,39,39,297,39,5.121212121,1,7.615384615,5292,6024,418852,6248199,79.14814815,1037.217629,170950.0256,22447.98316,-1,kgimg.com
stsdk.vivo.com.cn,47,49,362,45.08163265,6.632596685,1.042553191,7.387755102,6881,19430,738079,24311219,107.2633338,1251.220741,511210.1633,69196.9558,1,vivo.com.cn
fhv4sh1.useeasy.cn,6,27,2958,1.333333333,0.246450304,4.5,109.5555556,16297,10006,1517999,1414644,93.14591643,141.3795723,108616.4074,991.4276538,-1,useeasy.cn
p26-availability.icloud.com,13,19,91,8.894736842,3.967032967,1.461538462,4.789473684,867,500,105358,301060,121.5201845,602.12,21390.42105,4466.131868,1,icloud.com
ys1997.cn,1,5,685,0.2,0.03649635,5,137,13351,7316,775496,411138,58.08523706,56.19710224,237326.8,1732.312409,-1,ys1997.cn
tva4.sinaimg.cn,20,22,80,18.18181818,6.05,1.1,3.636363636,9012,41878,420505,57016256,46.66056369,1361.484694,2610761.864,717959.5125,1,sinaimg.cn
sgs-gw-alpha1.sf-express.com,4,45,1701,0.355555556,1.19047619,11.25,37.8,11550,8733,1270553,3837877,110.0045887,439.4683385,113520.6667,3003.19224,0,sf-express.com
ty.tikinmedia.com,1,3,191,0.333333333,0.047120419,3,63.66666667,938,639,108914,325844,116.1130064,509.9280125,144919.3333,2276.219895,-1,tikinmedia.com
gateslb.kivend.net,3,6,835,1.5,0.043113772,2,139.1666667,20814,11006,893668,501383,42.93590852,45.55542431,232508.5,1670.71976,0,kivend.net
dlearn.disney.com,1,1,2,1,0.5,1,2,10,9,1029,945,102.9,105,1974,987,-1,disney.com
aws.senthink.com,1,2,69,0.5,0.057971014,2,34.5,17940,17918,4326873,935051,241.185786,52.18500949,2630962,76259.76812,1,senthink.com
pixel.rubiconproject.com,2,4,14,1,1.142857143,2,3.5,118,79,21617,25928,183.1949153,328.2025316,11886.25,3396.071429,-1,rubiconproject.com
www.gps007.cc,11,42,3271,2.880952381,0.539284622,3.818181818,77.88095238,13677,13004,1020106,726198,74.58550852,55.84420178,41578.66667,533.8746561,-1,gps007.cc
download.alicdn.com,8,8,15,8,4.266666667,1,1.875,101,72,7934,22354,78.55445545,310.4722222,3786,2019.2,1,alicdn.com
r.popin.cc,1,1,2,1,0.5,1,2,9,7,1079,671,119.8888889,95.85714286,1750,875,-1,popin.cc
www.bosch-iov.com,1,4,7,0.25,2.285714286,4,1.75,73,64,4790,3592,65.61643836,56.125,2095.5,1197.428571,0,bosch-iov.com
vip.yy.com,4,4,11,4,1.454545455,1,2.75,123,102,8501,72774,69.11382114,713.4705882,20318.75,7388.636364,1,yy.com
push.ixintui.com,4,4,273,4,0.058608059,1,68.25,1119,705,117472,66500,104.9794459,94.32624113,45993,673.8901099,1,ixintui.com
sh.mylikechat.com,1,1,12,1,0.083333333,1,12,765,774,105019,909671,137.2797386,1175.28553,1014690,84557.5,1,mylikechat.com
iccp.moxiu.com,1,1,3,1,0.333333333,1,3,37,41,3165,40307,85.54054054,983.097561,43472,14490.66667,-1,moxiu.com
www.amazon.com,1,1,10,1,0.1,1,10,96,85,8952,31809,93.25,374.2235294,40761,4076.1,-1,amazon.com
0img.hitv.com,15,15,67,15,3.358208955,1,4.466666667,486,413,40291,311721,82.90329218,754.7723971,23467.46667,5253.910448,-1,hitv.com
server21501.teamviewer.com,2,2,8,2,0.5,1,4,88,66,14575,25942,165.625,393.0606061,20258.5,5064.625,1,teamviewer.com
sdklog.cmgame.com,1,1,5,1,0.2,1,5,19,14,5738,1840,302,131.4285714,7578,1515.6,-1,cmgame.com
zhannei.baidu.com,2,2,15,2,0.266666667,1,7.5,110,96,14780,69431,134.3636364,723.2395833,42105.5,5614.066667,1,baidu.com
statetc.nate.com,1,6,129,0.166666667,0.279069767,6,21.5,782,658,169464,59366,216.7058824,90.2218845,38138.33333,1773.875969,-1,nate.com
sunlogin.oray.com,2,2,30,2,0.133333333,1,15,131,75,7418,4977,56.6259542,66.36,6197.5,413.1666667,-1,oray.com
devops2.cdn08.com,1,1,1,1,1,1,1,8,5,1339,614,167.375,122.8,1953,1953,-1,cdn08.com
iot.slamtec.com,2,2,4025,2,0.000993789,1,2012.5,45802,36679,4888303,14560545,106.726846,396.9722457,9724424,4832.011925,-1,slamtec.com
upload.qiniup.com,1,1,2,1,0.5,1,2,542,840,34683,1017746,63.99077491,1211.602381,1052429,526214.5,-1,qiniup.com
server21809.teamviewer.com,1,1,1,1,1,1,1,41,34,7750,16380,189.0243902,481.7647059,24130,24130,1,teamviewer.com
ver.battleofballs.com,1,1,1,1,1,1,1,21,23,1171,27361,55.76190476,1189.608696,28532,28532,-1,battleofballs.com
quotation-api.dunamu.com,1,2,3,0.5,1.333333333,2,1.5,20,14,1784,3689,89.2,263.5,2736.5,1824.333333,-1,dunamu.com
visionvpn.net,1,1,4,1,0.25,1,4,31,20,9125,3020,294.3548387,151,12145,3036.25,-1,visionvpn.net
ad.vrzb.com,1,1,1,1,1,1,1,31,29,4091,7154,131.9677419,246.6896552,11245,11245,-1,vrzb.com
o2ocache.wizturnhub.com,1,1,1,1,1,1,1,29,25,16879,10156,582.0344828,406.24,27035,27035,-1,wizturnhub.com
membership.kt.com,1,2,7,0.5,0.571428571,2,3.5,376,456,19060,513369,50.69148936,1125.809211,266214.5,76061.28571,-1,kt.com
d.akamai.net,1,1,1,1,1,1,1,6,5,383,2111,63.83333333,422.2,2494,2494,1,akamai.net
117-135-164-73-node.xunyou.mobi,2,2,22,2,0.181818182,1,11,12227,35395,1879894,5937531,153.749407,167.750558,3908712.5,355337.5,-1,xunyou.mobi
ab.qingting.fm,1,1,1,1,1,1,1,7,5,715,778,102.1428571,155.6,1493,1493,1,qingting.fm
api.getui.vip,1,1,11,1,0.090909091,1,11,146,141,13859,70044,94.92465753,496.7659574,83903,7627.545455,-1,getui.vip
antg.widerplanet.com,1,2,4,0.5,1,2,2,34,23,4247,12904,124.9117647,561.0434783,8575.5,4287.75,-1,widerplanet.com
kbojson.sports2i.com,1,1,3,1,0.333333333,1,3,36,55,4628,29658,128.5555556,539.2363636,34286,11428.66667,-1,sports2i.com
sclick.baidu.com,1,1,3,1,0.333333333,1,3,27,3,1116,156,41.33333333,52,1272,424,1,baidu.com
wxmini.hortorgames.com,1,1,2,1,0.5,1,2,22,19,3931,6362,178.6818182,334.8421053,10293,5146.5,-1,hortorgames.com
data2.xws-datacloud.net,1,1,1,1,1,1,1,1,1,40,52,40,52,92,92,0,xws-datacloud.net
btcp4.ttbike.com.cn,18,791,65895,0.409608091,9.495121026,43.94444444,83.30594185,321458,197126,20130164,12579912,62.62144355,63.81660461,41352.81416,496.3969345,0,ttbike.com.cn
api.qingmang.mobi,14,18,204,10.88888889,1.588235294,1.285714286,11.33333333,1215,813,392269,82881,322.855144,101.9446494,26397.22222,2329.166667,-1,qingmang.mobi
m2.ifengimg.com,60,74,1749,48.64864865,3.130931961,1.233333333,23.63513514,40858,54173,3984693,57161059,97.52540506,1055.157717,826293.9459,34960.40709,-1,ifengimg.com
hs.zebred.com,1,872,4315,0.001146789,176.2187717,872,4.948394495,89459,83924,36077431,40906912,403.2845326,487.428054,88284.79702,17841.09919,0,zebred.com
pic1.zhimg.com,34,35,253,33.02857143,4.841897233,1.029411765,7.228571429,9055,17406,590791,20638934,65.24472667,1185.736757,606563.5714,83911.95652,-1,zhimg.com
data.openspeech.cn,15,24,39,9.375,14.76923077,1.6,1.625,180,153,19462,15146,108.1222222,98.99346405,1442,887.3846154,1,openspeech.cn
t-gateway.tzonedigital.cn,2,5,502,0.8,0.049800797,2.5,100.4,1136,585,115781,34013,101.9198944,58.14188034,29958.8,298.3944223,0,tzonedigital.cn
crab.baidu.com,13,14,43,12.07142857,4.558139535,1.076923077,3.071428571,529,419,68461,102094,129.415879,243.6610979,12182.5,3966.395349,1,baidu.com
b-api.facebook.com,151,271,3641,84.13653137,20.17055754,1.794701987,13.43542435,10613,1884,809195,75360,76.24564214,40,3264.04059,242.9428728,1,facebook.com
wcomm2.njchengshan.cn,1,8,974,0.125,0.065708419,8,121.75,40739,23956,1950757,1155746,47.88426324,48.24453164,388312.875,3189.428131,0,njchengshan.cn
iot.parkbox.cn,3,9,1106,1,0.07323689,3,122.8888889,17872,18322,1442618,916640,80.71944942,50.02947276,262139.7778,2133.144665,0,parkbox.cn
c2.kgimg.com,32,32,147,32,6.965986395,1,4.59375,3790,4248,259521,4830427,68.47519789,1137.106168,159060.875,34625.4966,-1,kgimg.com
kepler.jd.com,44,44,160,44,12.1,1,3.636363636,2709,2792,265846,2578067,98.13436693,923.3764327,64634.38636,17774.45625,1,jd.com
entry.baidu.com,14,58,13517,3.379310345,0.248871791,4.142857143,233.0517241,23049,22793,918591,2220152,39.85383314,97.40499276,54116.25862,232.2070726,1,baidu.com
vsmart.top,14,35,3075,5.6,0.398373984,2.5,87.85714286,99317,100543,8501387,5338463,85.59850781,53.096317,395424.2857,4500.764228,0,vsmart.top
maps.gstatic.com,1,2,2,0.5,2,2,1,10,0,640,0,64,0,320,320,-1,gstatic.com
e15.whatsapp.net,19,34,180,10.61764706,6.422222222,1.789473684,5.294117647,590,31,43373,16943,73.51355932,546.5483871,1774,335.0888889,1,whatsapp.net
rmcnmv.naver.com,1,1,5,1,0.2,1,5,92,106,10944,88795,118.9565217,837.6886792,99739,19947.8,1,naver.com
e9.whatsapp.net,20,36,137,11.11111111,9.459854015,1.8,3.805555556,445,19,26840,780,60.31460674,41.05263158,767.2222222,201.6058394,1,whatsapp.net
1.50yaya.com,1,1,49,1,0.020408163,1,49,1058,532,79608,31965,75.24385633,60.08458647,111573,2277,0,50yaya.com
tajs.qq.com,17,17,32,17,9.03125,1,1.882352941,298,286,44909,158760,150.7013423,555.1048951,11980.52941,6364.65625,1,qq.com
api.jjfinder.com,6,6,63,6,0.571428571,1,10.5,769,751,78083,252729,101.5383615,336.5233023,55135.33333,5250.984127,-1,jjfinder.com
strategy.lmobi.net,1,4,4,0.25,4,4,1,26,22,6481,3974,249.2692308,180.6363636,2613.75,2613.75,-1,lmobi.net
m.nate.com,1,6,145,0.166666667,0.248275862,6,24.16666667,808,801,162736,703810,201.4059406,878.6641698,144424.3333,5976.17931,-1,nate.com
m.shgjj.com,2,2,152,2,0.026315789,1,76,1347,1827,147548,1072421,109.5382331,586.9846743,609984.5,8026.111842,-1,shgjj.com
shouji.baofeng.com,5,5,31,5,0.806451613,1,6.2,166,119,14306,73787,86.18072289,620.0588235,17618.6,2841.709677,-1,baofeng.com
m.autohome.com.cn,2,2,7,2,0.571428571,1,3.5,95,79,20614,26416,216.9894737,334.3797468,23515,6718.571429,-1,autohome.com.cn
rblogger-receiver-apne1.recobell.io,1,2,17,0.5,0.235294118,2,8.5,203,195,35782,100189,176.2660099,513.7897436,67985.5,7998.294118,-1,recobell.io
prod-chn-ci.jlrmotor.com,1,1,6,1,0.166666667,1,6,133,130,29278,56084,220.1353383,431.4153846,85362,14227,-1,jlrmotor.com
attr.appsflyer.com,1,1,1,1,1,1,1,16,13,2858,4192,178.625,322.4615385,7050,7050,-1,appsflyer.com
notice.jd.com,2,2,76,2,0.052631579,1,38,618,560,181953,243378,294.4223301,434.6035714,212665.5,5596.460526,1,jd.com
api.weatherforecast.io,1,4,26,0.25,0.615384615,4,6.5,152,145,27750,101722,182.5657895,701.5310345,32368,4979.692308,-1,weatherforecast.io
ao2o.alicdn.com,1,1,1,1,1,1,1,4,3,180,132,45,44,312,312,1,alicdn.com
lgpay.lge.com,1,1,1,1,1,1,1,4,0,240,0,60,0,240,240,-1,lge.com
cdn.ikanshu.cn,1,1,4,1,0.25,1,4,20,20,1680,1680,84,84,3360,840,-1,ikanshu.cn
www.bctracking.cn,1,4,5,0.25,3.2,4,1.25,33,30,3388,3201,102.6666667,106.7,1647.25,1317.8,0,bctracking.cn
bsw.digitru.st,1,2,7,0.5,0.571428571,2,3.5,74,66,10898,18805,147.2702703,284.9242424,14851.5,4243.285714,-1,digitru.st
msoftdl.360.cn,2,2,78,2,0.051282051,1,39,4366,6077,213766,7946122,48.96152084,1307.573145,4079944,104613.9487,1,360.cn
api.sobot.com,2,2,7,2,0.571428571,1,3.5,63,48,8036,16826,127.5555556,350.5416667,12431,3551.714286,-1,sobot.com
click.tianyaui.com,1,1,2,1,0.5,1,2,10,7,1204,594,120.4,84.85714286,1798,899,1,tianyaui.com
mobile-service.blibee.com,1,1,6,1,0.166666667,1,6,45,36,4914,16197,109.2,449.9166667,21111,3518.5,0,blibee.com
www.avtt700.com,1,1,1,1,1,1,1,6,4,499,400,83.16666667,100,899,899,-1,avtt700.com
guanyin.duba.com,1,1,2,1,0.5,1,2,25,27,2336,8046,93.44,298,10382,5191,-1,duba.com
gb-lon-ibm-r004.teamviewer.com,1,3,19,0.333333333,0.473684211,3,6.333333333,344,338,46282,137791,134.5406977,407.6656805,61357.66667,9688.052632,1,teamviewer.com
www.gzfjd.com,1,1,72,1,0.013888889,1,72,1327,1289,59797,51696,45.06179352,40.10550815,111493,1548.513889,0,gzfjd.com
devmap.baidu.com,1,1,8,1,0.125,1,8,56,41,14320,5560,255.7142857,135.6097561,19880,2485,1,baidu.com
data5.njzztech.com,1,1,168,1,0.005952381,1,168,23337,23311,1872274,1212544,80.22770707,52.01595813,3084818,18362.0119,0,njzztech.com
hyrz.qq.com,1,1,16,1,0.0625,1,16,11806,8348,969782,1026473,82.14314755,122.9603498,1996255,124765.9375,1,qq.com
liveposting.net,1,1,2,1,0.5,1,2,12,10,1104,2328,92,232.8,3432,1716,-1,liveposting.net
xp.starschinalive.com,1,1,2,1,0.5,1,2,235,349,14800,472675,62.9787234,1354.369628,487475,243737.5,-1,starschinalive.com
m.yhouse.com,1,1,10,1,0.1,1,10,792,830,81512,1056233,102.9191919,1272.56988,1137745,113774.5,-1,yhouse.com
de-cgn-pls-r015.teamviewer.com,1,1,4,1,0.25,1,4,25,37,1435,3168,57.4,85.62162162,4603,1150.75,1,teamviewer.com
m.jiaheu.com,1,1,6,1,0.166666667,1,6,130,135,16780,143545,129.0769231,1063.296296,160325,26720.83333,-1,jiaheu.com
adinc.co.kr,1,1,9,1,0.111111111,1,9,40,30,5242,7455,131.05,248.5,12697,1410.777778,-1,co.kr
dev.ehoo-smart.cn,2,5,345,0.8,0.072463768,2.5,69,919,365,157796,30585,171.7040261,83.79452055,37676.2,546.0318841,-1,ehoo-smart.cn
b.bdstatic.com,1,1,1,1,1,1,1,9,8,603,4635,67,579.375,5238,5238,1,bdstatic.com
news.joins.com,1,1,9,1,0.111111111,1,9,55,79,6601,66910,120.0181818,846.9620253,73511,8167.888889,-1,joins.com
de-ham-pls-r018.teamviewer.com,1,1,5,1,0.2,1,5,57,67,12698,22719,222.7719298,339.0895522,35417,7083.4,1,teamviewer.com
sp0.baidu.com,201,615,93702,65.69268293,4.036466671,3.059701493,152.3609756,231955,126862,18410421,22279425,79.3706581,175.6193738,66162.35122,434.2473586,1,baidu.com
egt02a.szdatacenter.com,162,4555,115936,5.761580681,178.9610216,28.11728395,25.45246981,1524640,1319421,119673861,74398461,78.49319249,56.38720393,42606.43732,1673.960823,1,szdatacenter.com
iot.smartmidea.net,8,356,25913,0.179775281,4.890826998,44.5,72.78932584,1008046,818913,88024978,51564856,87.32238211,62.96744099,392106.2753,5386.865048,0,smartmidea.net
tms.ysepay.com,19,140,184,2.578571429,106.5217391,7.368421053,1.314285714,1126,999,143842,61177,127.7460036,61.23823824,1464.421429,1114.233696,0,ysepay.com
fiji.bbmessaging.com,2,2,5,2,0.8,1,2.5,49,40,8769,26329,178.9591837,658.225,17549,7019.6,-1,bbmessaging.com
huanle.qq.com,146,154,1271,138.4155844,18.65932337,1.054794521,8.253246753,37774,47010,3106634,46756600,82.24265368,994.6096575,323787.2338,39231.49803,1,qq.com
egame.gtimg.cn,157,171,804,144.1461988,36.36940299,1.089171975,4.701754386,15853,21476,1070101,23916662,67.50148237,1113.646023,146121.4211,31078.06343,1,gtimg.cn
p2.maiyaole.com,76,78,465,74.05128205,13.08387097,1.026315789,5.961538462,6151,6114,1052934,2004433,171.1809462,327.8431469,39197.01282,6574.982796,-1,maiyaole.com
cad.glodon.com,2,2,2,2,2,1,1,12,8,902,1262,75.16666667,157.75,1082,1082,-1,glodon.com
data.btiot.com.cn,12,97,11155,1.484536082,0.843478261,8.083333333,115,327505,324289,18376858,17757848,56.11168684,54.75932887,372522.7423,3239.328194,0,btiot.com.cn
uranus.sogou.com,113,142,875,89.92253521,23.04457143,1.256637168,6.161971831,6473,5762,1096317,3523144,169.3676811,611.4446373,32531.41549,5279.384,1,sogou.com
s1.hdslb.com,59,119,635,29.25210084,22.3007874,2.016949153,5.336134454,8745,9483,632248,10714382,72.29822756,1129.851524,95349.83193,17868.70866,-1,hdslb.com
www.weiyun.com,14,14,19,14,10.31578947,1,1.357142857,374,352,44912,177153,120.0855615,503.2755682,15861.78571,11687.63158,-1,weiyun.com
homemate.orvibo.com,2,2,162,2,0.024691358,1,81,4431,4647,498395,3283355,112.4791244,706.5536906,1890875,23344.1358,-1,orvibo.com
www.075511185.com,2,9,64,0.444444444,1.265625,4.5,7.111111111,454,364,33480,29595,73.74449339,81.30494505,7008.333333,985.546875,0,075511185.com
vp.qq.com,1,1,6,1,0.166666667,1,6,50,42,3735,24937,74.7,593.7380952,28672,4778.666667,1,qq.com
id1.cn,20,23,364,17.39130435,1.453296703,1.15,15.82608696,993,84,58056,5048,58.4652568,60.0952381,2743.652174,173.3626374,-1,id1.cn
pzhbdhl.tptri.cn,2,20,939,0.2,0.425985091,10,46.95,7102,3511,529253,239978,74.52168403,68.35032754,38461.55,819.2023429,0,tptri.cn
c.51y5.net,10,10,119,10,0.840336134,1,11.9,581,480,45263,29187,77.90533563,60.80625,7445,625.6302521,1,51y5.net
card.cashslide.kr,1,4,6,0.25,2.666666667,4,1.5,197,226,19047,211930,96.68527919,937.7433628,57744.25,38496.16667,-1,cashslide.kr
d.wanfangdata.com.cn,1,1,1,1,1,1,1,4,2,216,112,54,56,328,328,-1,wanfangdata.com.cn
valid.apple.com,20,20,36,20,11.11111111,1,1.8,789,1037,54800,1211728,69.45500634,1168.493732,63326.4,35181.33333,1,apple.com
api.weather.com,9,11,25,7.363636364,4.84,1.222222222,2.272727273,544,427,55663,221930,102.3216912,519.7423888,25235.72727,11103.72,-1,weather.com
gxh2.kuwo.cn,10,14,74,7.142857143,2.648648649,1.4,5.285714286,432,421,60523,96732,140.099537,229.7672209,11232.5,2125.067568,1,kuwo.cn
pb9.pstatp.com,50,51,437,49.01960784,5.95194508,1.02,8.568627451,8606,10013,618328,10940927,71.84847781,1092.672226,226652.0588,26451.38444,1,pstatp.com
spoc-pool-gtm.norton.com,1,1,17,1,0.058823529,1,17,95,58,25178,11606,265.0315789,200.1034483,36784,2163.764706,-1,norton.com
apihub.daum.net,1,16,108,0.0625,2.37037037,16,6.75,964,944,129327,498512,134.156639,528.0847458,39239.9375,5813.324074,-1,daum.net
15281561684843956288.d-ctrip.com,1,1,2,1,0.5,1,2,20,14,2270,8699,113.5,621.3571429,10969,5484.5,-1,d-ctrip.com
svr.zenlane.com,3,15,512,0.6,0.439453125,5,34.13333333,3530,2376,177690,1564075,50.33711048,658.2807239,116117.6667,3401.884766,0,zenlane.com
push.qq.com,19,19,133,19,2.714285714,1,7,671,475,67661,48024,100.8360656,101.1031579,6088.684211,869.8120301,1,qq.com
viva.vip.com,6,6,65,6,0.553846154,1,10.83333333,652,599,112646,317937,172.7699387,530.7796327,71763.83333,6624.353846,-1,vip.com
shop2.daumcdn.net,1,10,613,0.1,0.163132137,10,61.3,6742,6041,766376,4763262,113.6719074,788.4889919,552963.8,9020.616639,-1,daumcdn.net
app-livecn.nq.com,1,1,16,1,0.0625,1,16,30,0,1800,0,60,0,1800,112.5,-1,nq.com
shake.360.cn,3,3,3,3,3,1,1,15,15,1713,1541,114.2,102.7333333,1084.666667,1084.666667,1,360.cn
hegii123.qiyukf.com,1,1,2,1,0.5,1,2,27,22,2932,8376,108.5925926,380.7272727,11308,5654,-1,qiyukf.com
soft.moxiu.net,1,1,1,1,1,1,1,6,4,556,989,92.66666667,247.25,1545,1545,-1,moxiu.net
